24200000,LoadLibrary,lpFileName=C:\WINDOWS\system32\IMM32.DLL,Return=76390000
24296000,LoadLibrary,lpFileName=gdi32.dll,Return=77f10000
24258000,LoadLibrary,lpFileName=LPK.DLL,Return=629c0000
24346000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session,Manager\CriticalSectionTimeout,Return=0
24346000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Ole\RWLockResourceTimeOut,Return=2
24361000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemSetupInProgress,Return=0
24476000,CreateFile,hName=C:\WINDOWS\WindowsShell.Manifest,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=48
24505000,RegQueryValue,hKey=HKEY_CURRENT_USER\Control,Panel\Desktop\SmoothScroll,Return=2
24507000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\EnableBalloonTips,Return=2
24508000,RegEnumValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\LanguagePack\SURR,Return=0,type=REG_DWORD,data=2
24395000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
24531000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
24630000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ThemeManager\Compositing,Return=2
24632000,RegQueryValue,hKey=HKEY_CURRENT_USER\Control,Panel\Desktop\LameButtonText,Return=2
24669000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\UserEnvDebugLevel,Return=2
24671000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\ChkAccDebugLevel,Return=2
24673000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\ProductOptions\ProductType,Return=0
24686000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User,Shell,Folders\Personal,Return=0
24687000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User,Shell,Folders\Local,Settings,Return=0
24693000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\RsopDebugLevel,Return=2
24694000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\UserEnvDebugLevel,Return=2
