25805000,LoadLibrary,lpFileName=C:\WINDOWS\system32\IMM32.DLL,Return=76390000
25900000,LoadLibrary,lpFileName=gdi32.dll,Return=77f10000
25862000,LoadLibrary,lpFileName=LPK.DLL,Return=629c0000
25928000,CreateFile,hName=C:\WINDOWS\WindowsShell.Manifest,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=44
25958000,RegQueryValue,hKey=HKEY_CURRENT_USER\Control,Panel\Desktop\SmoothScroll,Return=2
25961000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\EnableBalloonTips,Return=2
25962000,RegEnumValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\LanguagePack\SURR,Return=0,type=REG_DWORD,data=2
25991000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemSetupInProgress,Return=0
26022000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
26030000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
26061000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session,Manager\CriticalSectionTimeout,Return=0
26061000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Ole\RWLockResourceTimeOut,Return=2
26218000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ThemeManager\Compositing,Return=2
26220000,RegQueryValue,hKey=HKEY_CURRENT_USER\Control,Panel\Desktop\LameButtonText,Return=2
26221000,LoadLibrary,lpFileName=uxtheme.dll,Return=5ad70000
26411000,LoadLibrary,lpFileName=riched32.dll,Return=732e0000
26458000,LoadLibrary,lpFileName=riched20.dll,Return=74e30000
26481000,LoadLibrary,lpFileName=ole32.dll,Return=774e0000
26484000,CreateFile,hName=C:\Documents,and,Settings\All,Users\Desktop\malware.exe,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=50
27195000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\IMM\Ime,File,Return=0
27198000,LoadLibrary,lpFileName=version.dll,Return=77c00000
27214000,CreateFile,hName=C:\WINDOWS\system32\msctfime.ime,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=54
27222000,CreateFile,hName=C:\WINDOWS\system32\msctfime.ime,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=54
27299000,LoadLibrary,lpFileName=C:\WINDOWS\system32\ole32.dll,Return=774e0000
27243000,LoadLibrary,lpFileName=C:\WINDOWS\system32\msctfime.ime,Return=755c0000
27317000,RegQueryValue,hKey=HKEY_CURRENT_USER\SOFTWARE\Microsoft\CTF\Disable,Thread,Input,Manager,Return=2
27319000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\CTF\SystemShared\CUAS,Return=0
27327000,LoadLibrary,lpFileName=C:\WINDOWS\system32\msctfime.ime,Return=755c0000
27378000,LoadLibrary,lpFileName=UxTheme.dll,Return=5ad70000
27502000,LoadLibrary,lpFileName=IMM32.dll,Return=76390000
27752000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\windows\CurrentVersion\Explorer\AutoComplete\Append,Completion,Return=2
27754000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\windows\CurrentVersion\Explorer\AutoComplete\AutoSuggest,Return=2
27757000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\AutoComplete\Always,Use,Tab,Return=2
27759000,LoadLibrary,lpFileName=ole32.dll,Return=774e0000
27761000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\Com+Enabled,Return=0
27843000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\OLE\MinimumFreeMemPercentageToCreateProcess,Return=2
27843000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\OLE\MinimumFreeMemPercentageToCreateObject,Return=2
27761000,LoadLibrary,lpFileName=CLBCATQ.DLL,Return=76fd0000
27848000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\Com+Enabled,Return=0
27848000,LoadLibrary,lpFileName=CLBCATQ.DLL,Return=76fd0000
27897000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\REGDBVersion,Return=0
27900000,CreateFile,hName=C:\WINDOWS\Registration\R000000000007.clb,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=e0
27924000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\REGDBVersion,Return=0
27937000,RegQueryValue,hKey=72\CLSID\{00BB2765-6A77-11D0-A535-00C04FD7D062}\InprocServer32\InprocServer32,Return=2
27943000,RegQueryValue,hKey=72\CLSID\{00BB2765-6A77-11D0-A535-00C04FD7D062}\InprocServer32,Return=0
27954000,RegQueryValue,hKey=72\CLSID\{00BB2765-6A77-11D0-A535-00C04FD7D062}\AppID,Return=2
27965000,RegQueryValue,hKey=72\CLSID\{00BB2765-6A77-11D0-A535-00C04FD7D062}\InprocServer32\ThreadingModel,Return=0
28064000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
28083000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\REGDBVersion,Return=0
28086000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\REGDBVersion,Return=0
28096000,RegQueryValue,hKey=72\CLSID\{03C036F1-A186-11D0-824A-00AA005B4383}\InprocServer32\InprocServer32,Return=2
28102000,RegQueryValue,hKey=72\CLSID\{03C036F1-A186-11D0-824A-00AA005B4383}\InprocServer32,Return=0
28111000,RegQueryValue,hKey=72\CLSID\{03C036F1-A186-11D0-824A-00AA005B4383}\AppID,Return=2
28118000,RegQueryValue,hKey=72\CLSID\{03C036F1-A186-11D0-824A-00AA005B4383}\InprocServer32\ThreadingModel,Return=0
28128000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\REGDBVersion,Return=0
28130000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\COM3\REGDBVersion,Return=0
28139000,RegQueryValue,hKey=72\CLSID\{00BB2763-6A77-11D0-A535-00C04FD7D062}\InprocServer32\InprocServer32,Return=2
28145000,RegQueryValue,hKey=72\CLSID\{00BB2763-6A77-11D0-A535-00C04FD7D062}\InprocServer32,Return=0
28154000,RegQueryValue,hKey=72\CLSID\{00BB2763-6A77-11D0-A535-00C04FD7D062}\AppID,Return=2
28162000,RegQueryValue,hKey=72\CLSID\{00BB2763-6A77-11D0-A535-00C04FD7D062}\InprocServer32\ThreadingModel,Return=0
28171000,RegQueryValue,hKey=HKEY_CLASSES_ROOT\CLSID\{03C036F1-A186-11D0-824A-00AA005B4383}\InProcServer32,Return=0
28209000,RegQueryValue,hKey=HKEY_CLASSES_ROOT\CLSID\{00BB2763-6A77-11D0-A535-00C04FD7D062}\InProcServer32,Return=0
28249000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\windows\CurrentVersion\Explorer\AutoComplete\AlwaysDropUp,Return=2
28252000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\windows\CurrentVersion\Explorer\AutoComplete\AlwaysDropUp,Return=2
28261000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ListviewScrollOver,Return=2
28262000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ListviewScrollOver,Return=2
28264000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ListviewWatermark,Return=0
28265000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ListviewAlphaSelect,Return=0
28266000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ListviewShadow,Return=0
28268000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\UseDoubleClickTimer,Return=2
28271000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\FontSubstitutes\Tahoma,Return=2
28283000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\FontSubstitutes\Tahoma,Return=2
28296000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\FontSubstitutes\Tahoma,Return=2
28298000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\FontSubstitutes\Tahoma,Return=2
